BALB/c VS. BALB/c Foxn1nu/nu 															BALB/c +OVA VS. BALB/c Foxn1nu/nu 															BALB/c +OVA+anti-PD-1 antibody VS. BALB/c Foxn1nu/nu 													
id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc		id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc		id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
EPN3	8	0.49001	0.63693	0.999905	36	1	-0.17534	0.43782	0.43843	0.999995	34	0	-0.17534		ZFP317	8	0.51744	0.65488	0.999585	36	2	0.029218	0.89546	0.8962	0.999995	68	0	0.029218		CDR2L	8	0.34577	0.55647	0.997178	36	3	0.26993	0.12833	0.21833	0.999995	16	2	0.26993
NOTCH2	8	0.51382	0.65625	0.999905	37	2	-0.029249	0.65491	0.65492	0.999995	51	0	-0.029249		ATRX	8	0.53531	0.67144	0.999585	37	2	0.061741	0.82734	0.82707	0.999995	59	0	0.061741		VPS39	8	0.34734	0.55812	0.997178	37	2	0.1328	0.0073454	0.024311	0.462604	4	3	0.1328
MAZ	8	0.52463	0.66555	0.999905	38	2	0.017284	0.31207	0.31661	0.982822	27	1	0.017284		PRKACA	8	0.5579	0.68256	0.999585	38	1	0.19401	0.80459	0.80389	0.999995	55	0	0.19401		ZFP317	8	0.38064	0.59266	0.997178	38	3	-0.10464	0.47311	0.50221	0.999995	37	1	-0.10464
HSF2BP	8	0.53791	0.67654	0.999905	39	1	0.58195	0.13629	0.17489	0.982822	13	1	0.58195		TAF2	8	0.56761	0.68629	0.999585	39	1	0.3445	0.1709	0.19795	0.864733	19	1	0.3445		ATRX	8	0.39976	0.61196	0.997178	39	3	-0.052176	0.93431	0.93457	0.999995	69	0	-0.052176
KDM5A	8	0.53885	0.6774	0.999905	40	2	-0.049302	0.091253	0.14318	0.982822	11	1	-0.049302		PDCD11	8	0.5724	0.68824	0.999585	40	1	0.63668	0.22053	0.23654	0.892413	22	1	0.63668		CLDN6	8	0.4221	0.6349	0.997178	40	3	0.18773	0.46157	0.49398	0.999995	36	1	0.18773
TNFRSF9	8	0.54588	0.68372	0.999905	41	2	-0.031187	0.74208	0.74114	0.999995	56	0	-0.031187		LAMC2	8	0.59563	0.69752	0.999585	41	1	-0.083274	0.50102	0.50165	0.999995	37	0	-0.083274		HOXB5	8	0.43782	0.64982	0.997178	41	1	0.44794	0.25989	0.37273	0.999995	26	1	0.44794
ZFP423	8	0.55286	0.68992	0.999905	42	2	0.32946	0.60903	0.60949	0.999995	46	0	0.32946		CLDN9	8	0.63051	0.71198	0.999585	42	1	0.38007	0.0048441	0.013132	0.358934	2	3	0.38007		TEAD4	8	0.44981	0.65663	0.997178	42	2	-0.21057	0.76556	0.7652	0.999995	57	0	-0.21057
ESPN	8	0.55298	0.68999	0.999905	43	1	0.0043867	0.66658	0.66662	0.999995	52	0	0.0043867		CDR2L	8	0.63881	0.7157	0.999585	43	1	0.16029	0.81853	0.81835	0.999995	58	0	0.16029		DDX17	8	0.46157	0.66321	0.997178	43	1	0.17332	0.38102	0.44141	0.999995	32	1	0.17332
LAMC2	8	0.56278	0.69777	0.999905	44	2	-0.25059	0.36773	0.36803	0.985382	32	1	-0.25059		LCN12	8	0.65095	0.72128	0.999585	44	1	0.058824	0.86072	0.86121	0.999995	64	0	0.058824		PRKACA	8	0.46736	0.66675	0.997178	44	2	-0.19497	0.91798	0.91885	0.999995	68	0	-0.19497
PRKAA2	8	0.58358	0.7158	0.999905	45	2	0.23672	0.56761	0.56802	0.999995	43	0	0.23672		STAT3	8	0.65884	0.72473	0.999585	45	1	-0.15076	0.68525	0.68529	0.999995	46	0	-0.15076		EPN3	8	0.48443	0.67689	0.997178	45	1	0.04335	0.51713	0.53472	0.999995	40	1	0.04335
